timestamp,point_id,acquisition_value,azimuthal,iteration,iterations,level,mean,polar,position_x,position_y,position_z,radius,score,std_dev,step_size
3111,-0.350306_-0.103369_2.252790,0.6360712208120511,,14,,,0.7600453865016004,,-0.3503063938308444,-0.10336904390998246,2.2527901019582854,,0.7600386575011824,2.220446049250313e-16,
3313,-0.092921_-0.412899_1.869982,0.6683672323684551,,15,,,0.784336212999091,,-0.09292134528714151,-0.41289858148148006,1.869982099069209,,0.7843418212013071,2.220446049250313e-16,
3507,-0.888758_-1.769324_0.000000,0.4800959420065081,,16,,,0.6430064162148716,,-0.8887582182686187,-1.769324399159179,1.2124003311558795e-16,,0.6430079576997432,2.220446049250313e-16,
3678,-0.370154_-1.945093_0.000000,0.4795641865843781,,17,,,0.6484250730954138,,-0.3701537947009535,-1.9450928430973375,1.2124003311558797e-16,,0.6484277115934564,2.220446049250313e-16,
3845,-0.718925_-1.846654_0.000000,0.4715624280146449,,18,,,0.6441662769897905,,-0.7189251862676235,-1.846654431866382,1.2134182802258752e-16,,0.6441653225172292,2.220446049250313e-16,
4008,-1.671431_-1.061470_0.000000,0.4768039417412087,,19,,,0.660955874074667,,-1.671430986213312,-1.06146995168304,1.2124003311558797e-16,,0.6609564439692369,2.220446049250313e-16,
4186,-0.694933_-1.854041_0.000000,0.46488021017791126,,20,,,0.6478121495260964,,-0.6949326584288783,-1.8540411538714485,1.2124003311558797e-16,,0.6487470824676994,2.220446049250313e-16,
4377,-0.792142_-1.814638_0.000000,,,21,,,,,-0.7921419254007125,-1.8146380272722304,1.2124003311558797e-16,,0.6385924311733678,,
4378,-0.792142_-1.814638_0.000000,0.4539573280398432,,,,,0.639043562097072,,-0.7921419254007125,-1.8146380272722304,1.2124003311558797e-16,,0.6385924311733678,2.220446049250313e-16,
4572,-0.757480_-1.872598_0.000000,0.4437256911382937,,22,,,0.6316814499870134,,-0.7574798953794506,-1.8725982505855165,1.2368932671388267e-16,,0.6316830009099146,2.220446049250313e-16,
4764,-1.966337_-0.232205_0.000000,0.4363526279286084,,23,,,0.6334036244806143,,-1.9663368748634296,-0.23220528536689608,1.2124003311558797e-16,,0.6334045329362384,2.220446049250313e-16,
4764,-1.025248_-1.693891_0.000000,0.5317847879658526,,25,,,0.7796030348008571,,-1.0252482255356188,-1.693890809950885,1.2124003311558797e-16,,0.7843418212013071,2.220446049250313e-16,
4764,-1.106675_-1.689873_0.000000,0.44375958411370864,,24,,,0.6450522005178527,,-1.106674817083964,-1.6898730275473877,1.2368932671388267e-16,,0.6450068874848565,2.220446049250313e-16,
4938,-0.764081_1.826631_0.000000,0.4361056445802517,,26,,,0.6635299773377028,,-0.7640809395901765,1.8266308652146974,1.21240033115588e-16,,0.6635315531710063,2.220446049250313e-16,
5161,-1.769639_0.974053_0.000000,0.40308236790756635,,27,,,0.6155997008849452,,-1.7696387472956874,0.9740527214015422,1.2368932671388267e-16,,0.6155983403033505,2.220446049250313e-16,
5364,-1.414729_1.385259_0.000000,,,28,,,,,-1.4147289180381717,1.3852588525133287,1.2124003311558797e-16,,0.6521513921472313,,
5365,-1.414729_1.385259_0.000000,0.4218716524141778,,,,,0.6521540562937389,,-1.4147289180381717,1.3852588525133287,1.2124003311558797e-16,,0.6521513921472313,2.220446049250313e-16,
5575,-1.875433_0.634943_0.000000,0.43315314963198237,,30,,,0.6789070670411093,,-1.8754326352758888,0.6349428561233957,1.2124003311558797e-16,,0.6789053876566791,2.220446049250313e-16,
5575,-0.400108_1.979978_0.000000,0.41328800452664616,,29,,,0.6498645535176406,,-0.40010777307265466,1.9799782246092608,1.2368932671388267e-16,,0.6498674499843206,2.220446049250313e-16,
5743,-1.370226_1.429294_0.000000,,,31,,,,,-1.3702262149268314,1.4292935737374914,1.2124003311558797e-16,,0.6606487738737953,,
5744,-1.370226_1.429294_0.000000,0.4144744850702521,,,,,0.6604846274466638,,-1.3702262149268314,1.4292935737374914,1.2124003311558797e-16,,0.6606487738737953,2.220446049250313e-16,
5911,-0.947781_1.783847_0.000000,,,32,,,,,-0.9477806730877719,1.7838474698587012,1.236893267138827e-16,,0.64778175592781,,
5912,-0.947781_1.783847_0.000000,0.400652659258483,,,,,0.6477717947641395,,-0.9477806730877719,1.7838474698587012,1.236893267138827e-16,,0.64778175592781,2.220446049250313e-16,
6117,-0.445806_1.929160_0.000000,0.3971271046537805,,33,,,0.6488114104455889,,-0.4458059780496859,1.9291596693729531,1.2124003311558797e-16,,0.648684536405166,2.220446049250313e-16,
6297,-1.241114_1.593749_0.000000,0.39439082631478134,,34,,,0.6493801561184682,,-1.2411142057153994,1.593748891253397,1.236893267138827e-16,,0.6493792045800495,2.220446049250313e-16,
6469,-0.969132_1.726611_0.000000,,,35,,,,,,,,,,,
6470,-0.199704_0.435643_2.186071,0.5183530605783716,,37,,,0.772349396216633,,-0.1997044346401538,0.43564251507488855,2.186070697228989,,0.7723401295695211,0.010492741149137896,
6470,-0.153841_0.419832_2.305495,0.4990023893181677,,38,,,0.7725498498199848,,-0.1538405929963975,0.4198323443171022,2.305495069264304,,0.7725617825259951,2.220446049250313e-16,
6470,-0.980075_1.766235_0.016264,0.3835529049046795,,36,,,0.6449956250584705,,-0.980075374941899,1.7662354717694646,0.016263999993641316,,0.6450068874848565,2.220446049250313e-16,
6470,-0.969132_1.726611_0.000000,0.3942243896834261,,,,,0.6556311850464738,,-0.9691315296646034,1.7266105751471426,1.21240033115588e-16,,0.6555670658561688,2.220446049250313e-16,
6470,1.766882_-0.740731_0.499845,0.3877779245359903,,39,,,0.6500768785046578,,1.7668822799436263,-0.7407305290285628,0.499845268244361,,0.6500799523029774,2.220446049250313e-16,
6470,1.180274_-1.282386_1.021196,,,40,,,,,1.1802737411213755,-1.2823855541504479,1.021195958925417,,0.6608689278647772,,
6471,1.396125_-0.581665_1.338993,0.4014799047834401,,41,,,0.6615933259567477,,1.3961251453187424,-0.5816645254658157,1.3389925161939287,,0.661589391998807,2.220446049250313e-16,
6471,0.415295_-1.239993_1.486724,0.41882481449750003,,43,,,0.6851490639634825,,0.41529526932032823,-1.2399925506351892,1.4867240206741112,,0.6851541313813176,2.220446049250313e-16,
6471,1.180274_-1.282386_1.021196,0.40164203007222693,,,,,0.6608714814041097,,1.1802737411213755,-1.2823855541504479,1.021195958925417,,0.6608689278647772,2.220446049250313e-16,
6471,0.252652_-0.779533_1.915634,0.444823191398554,,45,,,0.722683546335162,,0.2526520056223313,-0.7795328751714932,1.9156337087212079,,0.7226737829599218,2.220446049250313e-16,
6471,0.605736_-1.652177_0.907632,0.38054420973233377,,42,,,0.6374532368681294,,0.6057357379303793,-1.652176997959933,0.9076317442696921,,0.6374567704319288,2.220446049250313e-16,
6471,1.249526_-0.715670_1.359008,0.3888609557122291,,44,,,0.6563014534531,,1.249525602071054,-0.7156696642248286,1.3590079843316933,,0.6563050511290068,2.220446049250313e-16,
6552,0.000000_0.000000_2.001250,,0,,1,3,,0,,,,2.00125,,,0.00125
6625,0.000000_0.000000_2.003750,,0,,2,2,,0,,,,2.00375,,,0.0025
6692,0.000000_0.000000_2.008750,,0,,3,1,,0,,,,2.00875,,,0.005
6763,0.000000_0.000000_1.998750,,0,,4,0,,0,,,,1.99875,,,0.01
